(-6, -2, 4), (2, 2, 0)
(-6, -2, 5), (2, 2, 1)
(-6, -2, 7), (2, 2, 3)
(-6, -2, 8), (2, 2, 0)
(-6, -2, 11), (2, 2, 3)
(-6, -2, 13), (2, 2, 1)
(-6, -2, 14), (2, 2, 2)
(-6, -2, 16), (2, 2, 0)
(-3, -5, 13), (1, 3, 1)
(-6, -2, 17), (2, 2, 1)
(0, -8, 31), (0, 0, 3)
(-4, -4, 15), (0, 0, 3)
(-3, -5, 17), (1, 3, 1)
(-1, -7, 27), (3, 1, 3)
(-3, -5, 19), (1, 3, 3)
(-3, -5, 23), (1, 3, 3)
(-6, -1, -11), (2, 3, 1)
(-6, -1, -10), (2, 3, 2)
(-6, -1, -8), (2, 3, 0)
(-6, -1, -7), (2, 3, 1)
(-6, -1, -5), (2, 3, 3)
(-6, -1, -4), (2, 3, 0)
(-6, -1, -1), (2, 3, 3)
(-6, -1, 1), (2, 3, 1)
(-6, -1, 2), (2, 3, 2)
(-5, -2, 0), (3, 2, 0)
(-6, -1, 5), (2, 3, 1)
(-6, -1, 7), (2, 3, 3)
(-6, -1, 8), (2, 3, 0)
(-6, -1, 10), (2, 3, 2)
(-5, -2, 6), (3, 2, 2)
(-6, -1, 11), (2, 3, 3)
(-6, -1, 14), (2, 3, 2)
(-3, -4, 8), (1, 0, 0)
(-5, -2, 12), (3, 2, 0)
(-6, -1, 17), (2, 3, 1)
(-3, -4, 16), (1, 0, 0)
(-2, -5, 21), (2, 3, 1)
(-3, -4, 20), (1, 0, 0)
(-6, 0, -17), (2, 0, 3)
(-6, 0, -16), (2, 0, 0)
(-6, 0, -13), (2, 0, 3)
(-6, 0, -11), (2, 0, 1)
(-6, 0, -10), (2, 0, 2)
(-6, 0, -8), (2, 0, 0)
(-6, 0, -5), (2, 0, 3)
(-6, 0, -4), (2, 0, 0)
(-5, -1, -9), (3, 3, 3)
(-6, 0, -1), (2, 0, 3)
(-6, 0, 1), (2, 0, 1)
(-5, -1, -3), (3, 3, 1)
(-6, 0, 4), (2, 0, 0)
(-6, 0, 5), (2, 0, 1)
(-6, 0, 8), (2, 0, 0)
(-3, -3, 1), (1, 1, 1)
(-6, 0, 11), (2, 0, 3)
(-6, 0, 13), (2, 0, 1)
(-6, 0, 16), (2, 0, 0)
(-3, -3, 7), (1, 1, 3)
(-4, -2, 9), (0, 2, 1)
(0, -6, 19), (0, 2, 3)
(-3, -3, 10), (1, 1, 2)
(0, -6, 20), (0, 2, 0)
(-3, -3, 11), (1, 1, 3)
(-3, -3, 13), (1, 1, 1)
(0, -6, 25), (0, 2, 1)
(-1, -5, 21), (3, 3, 1)
(-3, -3, 17), (1, 1, 1)
(-3, -3, 19), (1, 1, 3)
(-6, 1, -11), (2, 1, 1)
(-6, 1, -10), (2, 1, 2)
(-6, 1, -8), (2, 1, 0)
(-6, 1, -7), (2, 1, 1)
(-6, 1, -5), (2, 1, 3)
(-6, 1, -4), (2, 1, 0)
(-6, 1, -1), (2, 1, 3)
(-6, 1, 2), (2, 1, 2)
(-6, 1, 4), (2, 1, 0)
(-6, 1, 5), (2, 1, 1)
(-6, 1, 7), (2, 1, 3)
(-6, 1, 10), (2, 1, 2)
(-6, 1, 11), (2, 1, 3)
(-6, 1, 13), (2, 1, 1)
(-4, -1, 3), (0, 3, 3)
(-6, 1, 14), (2, 1, 2)
(-6, 1, 17), (2, 1, 1)
(0, -5, 13), (0, 3, 1)
(-4, -1, 9), (0, 3, 1)
(0, -5, 16), (0, 3, 0)
(0, -5, 17), (0, 3, 1)
(0, -5, 19), (0, 3, 3)
(0, -5, 20), (0, 3, 0)
(-3, -2, 14), (1, 2, 2)
(-3, -2, 16), (1, 2, 0)
(0, -5, 23), (0, 3, 3)
(-6, 2, -5), (2, 2, 3)
(-6, 2, -4), (2, 2, 0)
(-6, 2, -2), (2, 2, 2)
(-5, 1, -9), (3, 1, 3)
(-6, 2, -1), (2, 2, 3)
(-6, 2, 1), (2, 2, 1)
(-6, 2, 4), (2, 2, 0)
(-5, 1, -3), (3, 1, 1)
(-6, 2, 5), (2, 2, 1)
(-3, -1, -10), (1, 3, 2)
(-6, 2, 7), (2, 2, 3)
(-6, 2, 8), (2, 2, 0)
(-6, 2, 11), (2, 2, 3)
(-6, 2, 13), (2, 2, 1)
(-6, 2, 14), (2, 2, 2)
(-3, -1, -1), (1, 3, 3)
(-6, 2, 16), (2, 2, 0)
(-6, 2, 17), (2, 2, 1)
(0, -4, 7), (0, 0, 3)
(3, -7, 29), (3, 1, 1)
(1, -5, 15), (1, 3, 3)
(-3, -1, 10), (1, 3, 2)
(-3, -1, 11), (1, 3, 3)
(0, -4, 16), (0, 0, 0)
(-3, -1, 13), (1, 3, 1)
(0, -4, 17), (0, 0, 1)
(-3, -1, 14), (1, 3, 2)
(0, -4, 19), (0, 0, 3)
(0, -4, 20), (0, 0, 0)
(-3, -1, 17), (1, 3, 1)
(-6, 3, 1), (2, 3, 1)
(6, -9, 37), (2, 3, 1)
(-6, 3, 2), (2, 3, 2)
(-3, 0, -16), (1, 0, 0)
(-6, 3, 4), (2, 3, 0)
(-6, 3, 5), (2, 3, 1)
(-6, 3, 7), (2, 3, 3)
(-3, 0, -10), (1, 0, 2)
(-4, 1, -6), (0, 1, 2)
(-6, 3, 10), (2, 3, 2)
(-3, 0, -8), (1, 0, 0)
(-6, 3, 11), (2, 3, 3)
(-4, 1, -3), (0, 1, 1)
(-4, 1, 0), (0, 1, 0)
(-6, 3, 16), (2, 3, 0)
(-6, 3, 17), (2, 3, 1)
(-4, 1, 3), (0, 1, 3)
(-6, 3, 19), (2, 3, 3)
(-3, 0, 8), (1, 0, 0)
(-3, 0, 10), (1, 0, 2)
(0, -3, 13), (0, 1, 1)
(0, -3, 16), (0, 1, 0)
(-3, 0, 16), (1, 0, 0)
(0, -3, 17), (0, 1, 1)
(0, -3, 19), (0, 1, 3)
(6, -8, 31), (2, 0, 3)
(-3, 1, -11), (1, 1, 1)
(-6, 4, 11), (2, 0, 3)
(-3, 1, -7), (1, 1, 1)
(-6, 4, 16), (2, 0, 0)
(-3, 1, -5), (1, 1, 3)
(-6, 4, 17), (2, 0, 1)
(-6, 4, 19), (2, 0, 3)
(-6, 4, 20), (2, 0, 0)
(-3, 1, -1), (1, 1, 3)
(-3, 1, 5), (1, 1, 1)
(-3, 1, 7), (1, 1, 3)
(0, -2, 5), (0, 2, 1)
(-3, 1, 10), (1, 1, 2)
(-3, 1, 11), (1, 1, 3)
(-3, 1, 14), (1, 1, 2)
(-3, 1, 17), (1, 1, 1)
(0, -2, 17), (0, 2, 1)
(-6, 5, 13), (2, 1, 1)
(6, -7, 25), (2, 1, 1)
(-6, 5, 14), (2, 1, 2)
(6, -7, 26), (2, 1, 2)
(-6, 5, 17), (2, 1, 1)
(6, -7, 29), (2, 1, 1)
(-6, 5, 19), (2, 1, 3)
(-6, 5, 20), (2, 1, 0)
(-3, 2, -2), (1, 2, 2)
(-6, 5, 23), (2, 1, 3)
(3, -4, 8), (3, 0, 0)
(-3, 2, 2), (1, 2, 2)
(-3, 2, 4), (1, 2, 0)
(-2, 1, 3), (2, 1, 3)
(-2, 1, 9), (2, 1, 1)
(1, -2, 12), (1, 2, 0)
(0, -1, 11), (0, 3, 3)
(0, -1, 17), (0, 3, 1)
(-6, 6, 19), (2, 2, 3)
(6, -6, 19), (2, 2, 3)
(-6, 6, 20), (2, 2, 0)
(0, 0, -16), (0, 0, 0)
(6, -6, 20), (2, 2, 0)
(-6, 6, 22), (2, 2, 2)
(6, -6, 22), (2, 2, 2)
(-6, 6, 25), (2, 2, 1)
(6, -6, 25), (2, 2, 1)
(1, -1, -9), (1, 3, 3)
(-1, 1, -9), (3, 1, 3)
(3, -3, 1), (3, 1, 1)
(-3, 3, 1), (1, 3, 1)
(3, -3, 5), (3, 1, 1)
(-3, 3, 5), (1, 3, 1)
(2, -2, 9), (2, 2, 1)
(-2, 2, 9), (2, 2, 1)
(0, 0, 7), (0, 0, 3)
(-3, 3, 19), (1, 3, 3)
(3, -3, 19), (3, 1, 3)
(0, 0, 11), (0, 0, 3)
(0, 0, 13), (0, 0, 1)
(0, 0, 16), (0, 0, 0)
(-6, 7, 25), (2, 3, 1)
(6, -5, 13), (2, 3, 1)
(-6, 7, 26), (2, 3, 2)
(6, -5, 14), (2, 3, 2)
(-6, 7, 29), (2, 3, 1)
(6, -5, 17), (2, 3, 1)
(6, -5, 19), (2, 3, 3)
(6, -5, 20), (2, 3, 0)
(3, -2, -2), (3, 2, 2)
(6, -5, 23), (2, 3, 3)
(3, -2, 2), (3, 2, 2)
(-3, 4, 8), (1, 0, 0)
(3, -2, 4), (3, 2, 0)
(2, -1, 3), (2, 3, 3)
(2, -1, 9), (2, 3, 1)
(-1, 2, 12), (3, 2, 0)
(0, 1, 11), (0, 1, 3)
(0, 1, 17), (0, 1, 1)
(-6, 8, 31), (2, 0, 3)
(3, -1, -11), (3, 3, 1)
(6, -4, 11), (2, 0, 3)
(3, -1, -7), (3, 3, 1)
(3, -1, -5), (3, 3, 3)
(6, -4, 16), (2, 0, 0)
(6, -4, 17), (2, 0, 1)
(6, -4, 19), (2, 0, 3)
(3, -1, -1), (3, 3, 3)
(6, -4, 20), (2, 0, 0)
(3, -1, 5), (3, 3, 1)
(3, -1, 7), (3, 3, 3)
(0, 2, 5), (0, 2, 1)
(3, -1, 10), (3, 3, 2)
(3, -1, 11), (3, 3, 3)
(3, -1, 14), (3, 3, 2)
(3, -1, 17), (3, 3, 1)
(0, 2, 17), (0, 2, 1)
(-6, 9, 37), (2, 1, 1)
(6, -3, 1), (2, 1, 1)
(3, 0, -16), (3, 0, 0)
(6, -3, 2), (2, 1, 2)
(6, -3, 4), (2, 1, 0)
(6, -3, 5), (2, 1, 1)
(6, -3, 7), (2, 1, 3)
(4, -1, -6), (0, 3, 2)
(3, 0, -10), (3, 0, 2)
(3, 0, -8), (3, 0, 0)
(6, -3, 10), (2, 1, 2)
(4, -1, -3), (0, 3, 1)
(6, -3, 11), (2, 1, 3)
(4, -1, 0), (0, 3, 0)
(6, -3, 16), (2, 1, 0)
(4, -1, 3), (0, 3, 3)
(6, -3, 17), (2, 1, 1)
(6, -3, 19), (2, 1, 3)
(3, 0, 8), (3, 0, 0)
(3, 0, 10), (3, 0, 2)
(0, 3, 13), (0, 3, 1)
(3, 0, 16), (3, 0, 0)
(0, 3, 16), (0, 3, 0)
(0, 3, 17), (0, 3, 1)
(0, 3, 19), (0, 3, 3)
(6, -2, -5), (2, 2, 3)
(6, -2, -4), (2, 2, 0)
(5, -1, -9), (1, 3, 3)
(6, -2, -2), (2, 2, 2)
(6, -2, -1), (2, 2, 3)
(6, -2, 1), (2, 2, 1)
(5, -1, -3), (1, 3, 1)
(6, -2, 4), (2, 2, 0)
(3, 1, -10), (3, 1, 2)
(6, -2, 5), (2, 2, 1)
(6, -2, 7), (2, 2, 3)
(6, -2, 8), (2, 2, 0)
(6, -2, 11), (2, 2, 3)
(6, -2, 13), (2, 2, 1)
(3, 1, -1), (3, 1, 3)
(6, -2, 14), (2, 2, 2)
(6, -2, 16), (2, 2, 0)
(6, -2, 17), (2, 2, 1)
(0, 4, 7), (0, 0, 3)
(-3, 7, 29), (1, 3, 1)
(-1, 5, 15), (3, 1, 3)
(3, 1, 10), (3, 1, 2)
(3, 1, 11), (3, 1, 3)
(3, 1, 13), (3, 1, 1)
(0, 4, 16), (0, 0, 0)
(3, 1, 14), (3, 1, 2)
(0, 4, 17), (0, 0, 1)
(0, 4, 19), (0, 0, 3)
(3, 1, 17), (3, 1, 1)
(0, 4, 20), (0, 0, 0)
(6, -1, -11), (2, 3, 1)
(6, -1, -10), (2, 3, 2)
(6, -1, -8), (2, 3, 0)
(6, -1, -7), (2, 3, 1)
(6, -1, -5), (2, 3, 3)
(6, -1, -4), (2, 3, 0)
(6, -1, -1), (2, 3, 3)
(6, -1, 2), (2, 3, 2)
(6, -1, 4), (2, 3, 0)
(6, -1, 5), (2, 3, 1)
(6, -1, 7), (2, 3, 3)
(6, -1, 10), (2, 3, 2)
(6, -1, 11), (2, 3, 3)
(4, 1, 3), (0, 1, 3)
(6, -1, 13), (2, 3, 1)
(6, -1, 14), (2, 3, 2)
(6, -1, 17), (2, 3, 1)
(4, 1, 9), (0, 1, 1)
(0, 5, 13), (0, 1, 1)
(0, 5, 16), (0, 1, 0)
(0, 5, 17), (0, 1, 1)
(0, 5, 19), (0, 1, 3)
(3, 2, 14), (3, 2, 2)
(0, 5, 20), (0, 1, 0)
(3, 2, 16), (3, 2, 0)
(0, 5, 23), (0, 1, 3)
(6, 0, -17), (2, 0, 3)
(6, 0, -16), (2, 0, 0)
(6, 0, -13), (2, 0, 3)
(6, 0, -11), (2, 0, 1)
(6, 0, -10), (2, 0, 2)
(6, 0, -8), (2, 0, 0)
(6, 0, -5), (2, 0, 3)
(5, 1, -9), (1, 1, 3)
(6, 0, -4), (2, 0, 0)
(6, 0, -1), (2, 0, 3)
(6, 0, 1), (2, 0, 1)
(5, 1, -3), (1, 1, 1)
(6, 0, 4), (2, 0, 0)
(6, 0, 5), (2, 0, 1)
(6, 0, 8), (2, 0, 0)
(3, 3, 1), (3, 3, 1)
(6, 0, 11), (2, 0, 3)
(6, 0, 13), (2, 0, 1)
(3, 3, 7), (3, 3, 3)
(6, 0, 16), (2, 0, 0)
(4, 2, 9), (0, 2, 1)
(3, 3, 10), (3, 3, 2)
(0, 6, 19), (0, 2, 3)
(3, 3, 11), (3, 3, 3)
(0, 6, 20), (0, 2, 0)
(3, 3, 13), (3, 3, 1)
(0, 6, 25), (0, 2, 1)
(3, 3, 17), (3, 3, 1)
(1, 5, 21), (1, 1, 1)
(3, 3, 19), (3, 3, 3)
(6, 1, -11), (2, 1, 1)
(6, 1, -10), (2, 1, 2)
(6, 1, -8), (2, 1, 0)
(6, 1, -7), (2, 1, 1)
(6, 1, -5), (2, 1, 3)
(6, 1, -4), (2, 1, 0)
(6, 1, -1), (2, 1, 3)
(6, 1, 1), (2, 1, 1)
(6, 1, 2), (2, 1, 2)
(5, 2, 0), (1, 2, 0)
(6, 1, 5), (2, 1, 1)
(6, 1, 7), (2, 1, 3)
(6, 1, 8), (2, 1, 0)
(5, 2, 6), (1, 2, 2)
(6, 1, 10), (2, 1, 2)
(6, 1, 11), (2, 1, 3)
(3, 4, 8), (3, 0, 0)
(6, 1, 14), (2, 1, 2)
(5, 2, 12), (1, 2, 0)
(6, 1, 17), (2, 1, 1)
(3, 4, 16), (3, 0, 0)
(2, 5, 21), (2, 1, 1)
(3, 4, 20), (3, 0, 0)
(6, 2, -5), (2, 2, 3)
(6, 2, -4), (2, 2, 0)
(6, 2, -2), (2, 2, 2)
(6, 2, -1), (2, 2, 3)
(6, 2, 1), (2, 2, 1)
(6, 2, 4), (2, 2, 0)
(6, 2, 5), (2, 2, 1)
(6, 2, 7), (2, 2, 3)
(6, 2, 8), (2, 2, 0)
(6, 2, 11), (2, 2, 3)
(6, 2, 13), (2, 2, 1)
(6, 2, 14), (2, 2, 2)
(3, 5, 13), (3, 1, 1)
(6, 2, 16), (2, 2, 0)
(6, 2, 17), (2, 2, 1)
(4, 4, 15), (0, 0, 3)
(0, 8, 31), (0, 0, 3)
(3, 5, 17), (3, 1, 1)
(3, 5, 19), (3, 1, 3)
(1, 7, 27), (1, 3, 3)
(3, 5, 23), (3, 1, 3)
(6, 3, 1), (2, 3, 1)
(6, 3, 2), (2, 3, 2)
(6, 3, 4), (2, 3, 0)
(6, 3, 5), (2, 3, 1)
(6, 3, 7), (2, 3, 3)
(6, 3, 10), (2, 3, 2)
(6, 3, 11), (2, 3, 3)
(6, 3, 13), (2, 3, 1)
(4, 5, 15), (0, 1, 3)
(6, 3, 17), (2, 3, 1)
(0, 9, 37), (0, 1, 1)
(6, 3, 19), (2, 3, 3)
(3, 6, 22), (3, 2, 2)
(4, 5, 21), (0, 1, 1)
(2, 7, 27), (2, 3, 3)
(6, 4, 7), (2, 0, 3)
(6, 4, 8), (2, 0, 0)
(6, 4, 11), (2, 0, 3)
(5, 5, 15), (1, 1, 3)
(6, 4, 16), (2, 0, 0)
(6, 4, 17), (2, 0, 1)
(6, 4, 19), (2, 0, 3)
(6, 4, 20), (2, 0, 0)
(5, 5, 21), (1, 1, 1)
(3, 7, 25), (3, 3, 1)
(3, 7, 26), (3, 3, 2)
(3, 7, 29), (3, 3, 1)
(6, 5, 13), (2, 1, 1)
(6, 5, 14), (2, 1, 2)
(6, 5, 16), (2, 1, 0)
(6, 5, 17), (2, 1, 1)
(6, 5, 19), (2, 1, 3)
(6, 5, 20), (2, 1, 0)
(6, 5, 23), (2, 1, 3)
(4, 7, 27), (0, 3, 3)
(3, 8, 32), (3, 0, 0)
(6, 6, 19), (2, 2, 3)
(6, 6, 20), (2, 2, 0)
(6, 6, 22), (2, 2, 2)
(6, 6, 25), (2, 2, 1)
(5, 7, 27), (1, 3, 3)
(3, 9, 37), (3, 1, 1)
(6, 7, 25), (2, 3, 1)
(6, 7, 26), (2, 3, 2)
(6, 7, 29), (2, 3, 1)
(6, 8, 31), (2, 0, 3)
(6, 8, 32), (2, 0, 0)
(6, 9, 37), (2, 1, 1)
